X,Y,Chip Name
37,108,SH4T
38,108,SH4T
39,108,SH4T
40,108,SH4T
41,108,SH4T
54,108,SH4T
55,108,SH4T
56,108,SH4T
57,108,SH4T
58,108,SH4T
59,108,SH4T
72,108,SH4T
73,108,SH4T
74,108,SH4T
75,108,SH4T
76,108,SH4T
77,108,SH4T
90,108,SH4T
91,108,SH4T
92,108,SH4T
93,108,SH4T
94,108,SH4T
95,108,SH4T
108,108,SH4T
109,108,SH4T
110,108,SH4T
111,108,SH4T
112,108,SH4T
113,108,SH4T
126,108,SH4T
127,108,SH4T
128,108,SH4T
129,108,SH4T
130,108,SH4T
131,108,SH4T
144,108,SH4T
145,108,SH4T
146,108,SH4T
147,108,SH4T
148,108,SH4T
149,108,SH4T
162,108,SH4T
163,108,SH4T
164,108,SH4T
165,108,SH4T
166,108,SH4T
167,108,SH4T
180,108,SH4T
181,108,SH4T
182,108,SH4T
183,108,SH4T
184,108,SH4T
185,108,SH4T
198,108,SH4T
199,108,SH4T
200,108,SH4T
201,108,SH4T
202,108,SH4T
203,108,SH4T
216,108,SH4T
217,108,SH4T
218,108,SH4T
219,108,SH4T
220,108,SH4T
221,108,SH4T
2,86,SH4T
3,86,SH4T
4,86,SH4T
5,86,SH4T
18,86,SH4T
19,86,SH4T
20,86,SH4T
21,86,SH4T
22,86,SH4T
23,86,SH4T
36,86,SH4T
37,86,SH4T
38,86,SH4T
39,86,SH4T
40,86,SH4T
41,86,SH4T
54,86,SH4T
55,86,SH4T
56,86,SH4T
57,86,SH4T
58,86,SH4T
59,86,SH4T
72,86,SH4T
73,86,SH4T
74,86,SH4T
75,86,SH4T
76,86,SH4T
77,86,SH4T
90,86,SH4T
91,86,SH4T
92,86,SH4T
93,86,SH4T
94,86,SH4T
95,86,SH4T
108,86,SH4T
109,86,SH4T
110,86,SH4T
111,86,SH4T
112,86,SH4T
113,86,SH4T
126,86,SH4T
127,86,SH4T
128,86,SH4T
129,86,SH4T
130,86,SH4T
131,86,SH4T
144,86,SH4T
145,86,SH4T
146,86,SH4T
147,86,SH4T
148,86,SH4T
149,86,SH4T
162,86,SH4T
163,86,SH4T
164,86,SH4T
165,86,SH4T
166,86,SH4T
167,86,SH4T
180,86,SH4T
181,86,SH4T
182,86,SH4T
183,86,SH4T
184,86,SH4T
185,86,SH4T
198,86,SH4T
199,86,SH4T
200,86,SH4T
201,86,SH4T
202,86,SH4T
203,86,SH4T
216,86,SH4T
217,86,SH4T
218,86,SH4T
219,86,SH4T
220,86,SH4T
221,86,SH4T
221,85,SH4T
220,85,SH4T
219,85,SH4T
218,85,SH4T
217,85,SH4T
216,85,SH4T
203,85,SH4T
202,85,SH4T
201,85,SH4T
200,85,SH4T
199,85,SH4T
198,85,SH4T
185,85,SH4T
184,85,SH4T
183,85,SH4T
182,85,SH4T
181,85,SH4T
180,85,SH4T
167,85,SH4T
166,85,SH4T
165,85,SH4T
164,85,SH4T
163,85,SH4T
162,85,SH4T
149,85,SH4T
148,85,SH4T
147,85,SH4T
146,85,SH4T
145,85,SH4T
144,85,SH4T
131,85,SH4T
130,85,SH4T
129,85,SH4T
128,85,SH4T
127,85,SH4T
126,85,SH4T
113,85,SH4T
112,85,SH4T
111,85,SH4T
110,85,SH4T
109,85,SH4T
108,85,SH4T
95,85,SH4T
94,85,SH4T
93,85,SH4T
92,85,SH4T
91,85,SH4T
90,85,SH4T
77,85,SH4T
76,85,SH4T
75,85,SH4T
74,85,SH4T
73,85,SH4T
72,85,SH4T
59,85,SH4T
58,85,SH4T
57,85,SH4T
56,85,SH4T
55,85,SH4T
54,85,SH4T
41,85,SH4T
40,85,SH4T
39,85,SH4T
38,85,SH4T
37,85,SH4T
36,85,SH4T
23,85,SH4T
22,85,SH4T
21,85,SH4T
20,85,SH4T
19,85,SH4T
18,85,SH4T
5,85,SH4T
4,85,SH4T
3,85,SH4T
2,85,SH4T
217,63,SH4T
216,63,SH4T
203,63,SH4T
202,63,SH4T
201,63,SH4T
200,63,SH4T
199,63,SH4T
198,63,SH4T
185,63,SH4T
184,63,SH4T
183,63,SH4T
182,63,SH4T
181,63,SH4T
180,63,SH4T
167,63,SH4T
166,63,SH4T
165,63,SH4T
164,63,SH4T
163,63,SH4T
162,63,SH4T
149,63,SH4T
148,63,SH4T
147,63,SH4T
146,63,SH4T
145,63,SH4T
144,63,SH4T
131,63,SH4T
130,63,SH4T
129,63,SH4T
128,63,SH4T
127,63,SH4T
126,63,SH4T
113,63,SH4T
112,63,SH4T
111,63,SH4T
110,63,SH4T
